index,Airline,Date_of_Journey,Source,Destination,Dep_Time,Duration,Total_Stops,Additional_Info,Price,departure,duration_mins,arrival
1723,Multiple carriers,06-03-2019,Delhi,Cochin,07:00,14h,1 stop,No info,7618,06-03-2019 07:00,840,06-03-2019 21:00
1724,Jet Airways,06-03-2019,Delhi,Cochin,02:15,16h 45m,1 stop,In-flight meal not included,10262,06-03-2019 02:15,1005,06-03-2019 19:00
1725,Jet Airways,06-03-2019,Delhi,Cochin,15:00,28h,1 stop,In-flight meal not included,10262,06-03-2019 15:00,1680,07-03-2019 19:00
1726,Jet Airways,06-03-2019,Delhi,Cochin,10:00,26h 35m,1 stop,In-flight meal not included,10262,06-03-2019 10:00,1595,07-03-2019 12:35
1727,Multiple carriers,06-03-2019,Delhi,Cochin,06:00,6h 35m,1 stop,No info,13259,06-03-2019 06:00,395,06-03-2019 12:35
1728,Vistara,06-03-2019,Chennai,Kolkata,17:45,2h 20m,non-stop,No info,11982,06-03-2019 17:45,140,06-03-2019 20:05
1729,IndiGo,06-03-2019,Delhi,Cochin,06:50,9h 20m,1 stop,No info,7514,06-03-2019 06:50,560,06-03-2019 16:10
1730,IndiGo,06-03-2019,Mumbai,Hyderabad,06:25,1h 30m,non-stop,No info,4049,06-03-2019 06:25,90,06-03-2019 07:55
1731,IndiGo,06-03-2019,Delhi,Cochin,07:35,8h 35m,1 stop,No info,7514,06-03-2019 07:35,515,06-03-2019 16:10
1732,IndiGo,06-03-2019,Delhi,Cochin,15:00,10h 30m,1 stop,No info,6104,06-03-2019 15:00,630,07-03-2019 01:30
1733,IndiGo,06-03-2019,Banglore,Delhi,07:10,2h 55m,non-stop,No info,4823,06-03-2019 07:10,175,06-03-2019 10:05
1734,Multiple carriers,06-03-2019,Delhi,Cochin,08:30,10h 45m,1 stop,No info,7677,06-03-2019 08:30,645,06-03-2019 19:15
1735,Jet Airways,06-03-2019,Delhi,Cochin,19:45,23h 15m,1 stop,No info,14714,06-03-2019 19:45,1395,07-03-2019 19:00
1736,SpiceJet,06-03-2019,Kolkata,Banglore,17:10,2h 30m,non-stop,No info,3873,06-03-2019 17:10,150,06-03-2019 19:40
1737,IndiGo,06-03-2019,Delhi,Cochin,10:35,14h 55m,1 stop,No info,5883,06-03-2019 10:35,895,07-03-2019 01:30
1738,Multiple carriers,06-03-2019,Delhi,Cochin,07:30,11h 45m,1 stop,No info,9736,06-03-2019 07:30,705,06-03-2019 19:15
1739,Multiple carriers,06-03-2019,Delhi,Cochin,11:40,13h 50m,1 stop,No info,7530,06-03-2019 11:40,830,07-03-2019 01:30
1740,Multiple carriers,06-03-2019,Delhi,Cochin,06:40,12h 20m,1 stop,No info,10877,06-03-2019 06:40,740,06-03-2019 19:00
1741,IndiGo,06-03-2019,Kolkata,Banglore,04:40,2h 35m,non-stop,No info,5224,06-03-2019 04:40,155,06-03-2019 07:15
1742,Jet Airways,06-03-2019,Delhi,Cochin,09:35,27h,2 stops,In-flight meal not included,11507,06-03-2019 09:35,1620,07-03-2019 12:35
1743,Multiple carriers,06-03-2019,Delhi,Cochin,15:00,10h 30m,1 stop,No info,13377,06-03-2019 15:00,630,07-03-2019 01:30
1744,Air India,06-03-2019,Delhi,Cochin,20:15,23h,2 stops,No info,13381,06-03-2019 20:15,1380,07-03-2019 19:15
1745,Air India,06-03-2019,Banglore,Delhi,21:05,2h 50m,non-stop,No info,6961,06-03-2019 21:05,170,06-03-2019 23:55
1746,Multiple carriers,06-03-2019,Delhi,Cochin,08:45,12h 15m,1 stop,No info,7740,06-03-2019 08:45,735,06-03-2019 21:00
1747,Jet Airways,06-03-2019,Delhi,Cochin,17:30,10h 55m,1 stop,No info,14714,06-03-2019 17:30,655,07-03-2019 04:25
1748,Jet Airways,06-03-2019,Delhi,Cochin,14:35,22h,2 stops,No info,13376,06-03-2019 14:35,1320,07-03-2019 12:35
1749,Multiple carriers,06-03-2019,Delhi,Cochin,06:40,12h 35m,1 stop,No info,7354,06-03-2019 06:40,755,06-03-2019 19:15
1750,Vistara,06-03-2019,Banglore,Delhi,11:30,2h 50m,non-stop,No info,4668,06-03-2019 11:30,170,06-03-2019 14:20
1751,Jet Airways,06-03-2019,Delhi,Cochin,22:50,20h 10m,1 stop,In-flight meal not included,10262,06-03-2019 22:50,1210,07-03-2019 19:00
1752,Multiple carriers,06-03-2019,Delhi,Cochin,07:05,9h 5m,1 stop,No info,10696,06-03-2019 07:05,545,06-03-2019 16:10
1753,Air India,06-03-2019,Delhi,Cochin,03:50,15h 25m,1 stop,No info,8669,06-03-2019 03:50,925,06-03-2019 19:15
1754,Jet Airways,06-03-2019,Delhi,Cochin,09:00,10h,1 stop,No info,14714,06-03-2019 09:00,600,06-03-2019 19:00
1755,Multiple carriers,06-03-2019,Delhi,Cochin,07:10,15h 20m,1 stop,No info,7878,06-03-2019 07:10,920,06-03-2019 22:30
1756,IndiGo,06-03-2019,Delhi,Cochin,11:55,10h 35m,1 stop,No info,6442,06-03-2019 11:55,635,06-03-2019 22:30
1757,Air India,06-03-2019,Delhi,Cochin,12:00,19h 40m,2 stops,No info,8603,06-03-2019 12:00,1180,07-03-2019 07:40
1758,IndiGo,06-03-2019,Delhi,Cochin,05:10,4h 55m,1 stop,No info,6842,06-03-2019 05:10,295,06-03-2019 10:05
1759,Multiple carriers,06-03-2019,Delhi,Cochin,07:05,12h 10m,1 stop,No info,15058,06-03-2019 07:05,730,06-03-2019 19:15
1760,Jet Airways,06-03-2019,Banglore,Delhi,17:45,3h,non-stop,In-flight meal not included,6478,06-03-2019 17:45,180,06-03-2019 20:45
1761,Jet Airways,06-03-2019,Delhi,Cochin,22:50,5h 35m,1 stop,In-flight meal not included,10262,06-03-2019 22:50,335,07-03-2019 04:25
1762,IndiGo,06-03-2019,Banglore,Delhi,01:30,2h 45m,non-stop,No info,3943,06-03-2019 01:30,165,06-03-2019 04:15
1763,IndiGo,06-03-2019,Delhi,Cochin,08:35,7h 35m,1 stop,No info,6442,06-03-2019 08:35,455,06-03-2019 16:10
1764,IndiGo,06-03-2019,Delhi,Cochin,11:25,9h 35m,1 stop,No info,6093,06-03-2019 11:25,575,06-03-2019 21:00
1765,SpiceJet,06-03-2019,Kolkata,Banglore,09:00,2h 25m,non-stop,No info,3873,06-03-2019 09:00,145,06-03-2019 11:25
1766,Multiple carriers,06-03-2019,Delhi,Cochin,10:00,11h,1 stop,No info,13587,06-03-2019 10:00,660,06-03-2019 21:00
1767,Air Asia,06-03-2019,Delhi,Cochin,16:45,13h 50m,1 stop,No info,11410,06-03-2019 16:45,830,07-03-2019 06:35
1768,Multiple carriers,06-03-2019,Delhi,Cochin,08:00,11h,1 stop,No info,12402,06-03-2019 08:00,660,06-03-2019 19:00
1769,Air India,06-03-2019,Delhi,Cochin,20:40,12h 45m,1 stop,No info,7480,06-03-2019 20:40,765,07-03-2019 09:25
1770,Jet Airways,06-03-2019,Banglore,Delhi,11:10,2h 55m,non-stop,No info,8016,06-03-2019 11:10,175,06-03-2019 14:05
1771,Jet Airways,06-03-2019,Delhi,Cochin,13:00,23h 35m,1 stop,In-flight meal not included,10262,06-03-2019 13:00,1415,07-03-2019 12:35
1772,IndiGo,06-03-2019,Banglore,Delhi,22:10,2h 50m,non-stop,No info,3359,06-03-2019 22:10,170,07-03-2019 01:00
1773,Jet Airways,06-03-2019,Delhi,Cochin,05:30,13h 30m,2 stops,No info,13014,06-03-2019 05:30,810,06-03-2019 19:00
1774,Jet Airways,06-03-2019,Delhi,Cochin,19:15,23h 45m,1 stop,In-flight meal not included,10262,06-03-2019 19:15,1425,07-03-2019 19:00
1775,IndiGo,06-03-2019,Banglore,Delhi,13:00,2h 50m,non-stop,No info,3943,06-03-2019 13:00,170,06-03-2019 15:50
1776,Jet Airways,06-03-2019,Delhi,Cochin,19:30,8h 55m,2 stops,No info,13014,06-03-2019 19:30,535,07-03-2019 04:25
1777,Jet Airways,06-03-2019,Delhi,Cochin,18:15,24h 45m,1 stop,No info,14714,06-03-2019 18:15,1485,07-03-2019 19:00
1778,Jet Airways,06-03-2019,Delhi,Cochin,09:40,26h 55m,2 stops,No info,13014,06-03-2019 09:40,1615,07-03-2019 12:35
1779,Jet Airways,06-03-2019,Delhi,Cochin,05:30,7h 5m,2 stops,In-flight meal not included,13344,06-03-2019 05:30,425,06-03-2019 12:35
1780,GoAir,06-03-2019,Banglore,Delhi,20:55,2h 45m,non-stop,No info,3419,06-03-2019 20:55,165,06-03-2019 23:40
1781,Jet Airways,06-03-2019,Mumbai,Hyderabad,10:20,1h 30m,non-stop,No info,8040,06-03-2019 10:20,90,06-03-2019 11:50
1782,SpiceJet,06-03-2019,Kolkata,Banglore,22:20,2h 20m,non-stop,No check-in baggage included,3841,06-03-2019 22:20,140,07-03-2019 00:40
1783,Jet Airways,06-03-2019,Mumbai,Hyderabad,19:35,1h 30m,non-stop,No info,5678,06-03-2019 19:35,90,06-03-2019 21:05
1784,IndiGo,06-03-2019,Banglore,Delhi,16:55,3h,non-stop,No info,4823,06-03-2019 16:55,180,06-03-2019 19:55
1785,Jet Airways,06-03-2019,Banglore,Delhi,06:00,2h 45m,non-stop,In-flight meal not included,5769,06-03-2019 06:00,165,06-03-2019 08:45
1786,Jet Airways,06-03-2019,Delhi,Cochin,16:00,12h 25m,1 stop,No info,14714,06-03-2019 16:00,745,07-03-2019 04:25
1787,IndiGo,06-03-2019,Kolkata,Banglore,15:15,2h 30m,non-stop,No info,4804,06-03-2019 15:15,150,06-03-2019 17:45
1788,Air Asia,06-03-2019,Delhi,Cochin,20:45,9h 50m,1 stop,No info,11410,06-03-2019 20:45,590,07-03-2019 06:35
1789,Multiple carriers,06-03-2019,Delhi,Cochin,10:00,11h,1 stop,No info,9718,06-03-2019 10:00,660,06-03-2019 21:00
1790,Air India,06-03-2019,Delhi,Cochin,09:45,23h 40m,2 stops,No info,10975,06-03-2019 09:45,1420,07-03-2019 09:25
1791,IndiGo,06-03-2019,Delhi,Cochin,08:30,12h 30m,1 stop,No info,6416,06-03-2019 08:30,750,06-03-2019 21:00
1792,Jet Airways,06-03-2019,Delhi,Cochin,11:40,7h 20m,2 stops,In-flight meal not included,15812,06-03-2019 11:40,440,06-03-2019 19:00
1793,Air Asia,06-03-2019,Banglore,Delhi,04:55,2h 50m,non-stop,No info,4282,06-03-2019 04:55,170,06-03-2019 07:45
1794,Air Asia,06-03-2019,Banglore,Delhi,23:55,2h 50m,non-stop,No info,7120,06-03-2019 23:55,170,07-03-2019 02:45
1795,IndiGo,06-03-2019,Delhi,Cochin,02:00,5h 25m,1 stop,No info,5636,06-03-2019 02:00,325,06-03-2019 07:25
1796,IndiGo,06-03-2019,Delhi,Cochin,05:05,7h 5m,1 stop,No info,6818,06-03-2019 05:05,425,06-03-2019 12:10
1797,SpiceJet,06-03-2019,Delhi,Cochin,06:05,5h 15m,1 stop,No info,5583,06-03-2019 06:05,315,06-03-2019 11:20
1798,Jet Airways,06-03-2019,Delhi,Cochin,19:30,17h 5m,2 stops,In-flight meal not included,10368,06-03-2019 19:30,1025,07-03-2019 12:35
1799,SpiceJet,06-03-2019,Chennai,Kolkata,08:20,2h 15m,non-stop,No check-in baggage included,3543,06-03-2019 08:20,135,06-03-2019 10:35
1800,Jet Airways,06-03-2019,Delhi,Cochin,20:55,7h 30m,1 stop,No info,14714,06-03-2019 20:55,450,07-03-2019 04:25
1801,Jet Airways,06-03-2019,Delhi,Cochin,07:05,5h 30m,1 stop,No info,14924,06-03-2019 07:05,330,06-03-2019 12:35
1802,SpiceJet,06-03-2019,Mumbai,Hyderabad,13:15,1h 30m,non-stop,No info,2017,06-03-2019 13:15,90,06-03-2019 14:45
1803,IndiGo,06-03-2019,Mumbai,Hyderabad,09:10,1h 30m,non-stop,No info,4049,06-03-2019 09:10,90,06-03-2019 10:40
1804,SpiceJet,06-03-2019,Chennai,Kolkata,09:45,2h 15m,non-stop,No check-in baggage included,3859,06-03-2019 09:45,135,06-03-2019 12:00
1805,Multiple carriers,06-03-2019,Delhi,Cochin,07:00,12h,1 stop,No info,12402,06-03-2019 07:00,720,06-03-2019 19:00
1806,SpiceJet,06-03-2019,Mumbai,Hyderabad,05:45,1h 30m,non-stop,No info,2753,06-03-2019 05:45,90,06-03-2019 07:15
1807,Jet Airways,06-03-2019,Delhi,Cochin,10:00,18h 25m,1 stop,In-flight meal not included,11627,06-03-2019 10:00,1105,07-03-2019 04:25
1808,Jet Airways,06-03-2019,Delhi,Cochin,02:15,16h 45m,1 stop,No info,14714,06-03-2019 02:15,1005,06-03-2019 19:00
1809,IndiGo,06-03-2019,Delhi,Cochin,10:35,10h 25m,1 stop,No info,6093,06-03-2019 10:35,625,06-03-2019 21:00
1810,Multiple carriers,06-03-2019,Delhi,Cochin,08:00,11h 15m,1 stop,No info,15058,06-03-2019 08:00,675,06-03-2019 19:15
1811,IndiGo,06-03-2019,Delhi,Cochin,16:00,5h,1 stop,No info,6593,06-03-2019 16:00,300,06-03-2019 21:00
1812,Multiple carriers,06-03-2019,Delhi,Cochin,19:00,6h 30m,1 stop,No info,7198,06-03-2019 19:00,390,07-03-2019 01:30
1813,Jet Airways,06-03-2019,Delhi,Cochin,17:30,25h 30m,1 stop,In-flight meal not included,10262,06-03-2019 17:30,1530,07-03-2019 19:00
1814,Multiple carriers,06-03-2019,Delhi,Cochin,07:05,15h 25m,1 stop,No info,10696,06-03-2019 07:05,925,06-03-2019 22:30
1815,Jet Airways,06-03-2019,Delhi,Cochin,19:45,16h 50m,1 stop,In-flight meal not included,10262,06-03-2019 19:45,1010,07-03-2019 12:35
1816,Jet Airways,06-03-2019,Delhi,Cochin,13:00,6h,1 stop,In-flight meal not included,10262,06-03-2019 13:00,360,06-03-2019 19:00
1817,Multiple carriers,06-03-2019,Delhi,Cochin,09:00,12h,1 stop,No info,13587,06-03-2019 09:00,720,06-03-2019 21:00
1818,Jet Airways,06-03-2019,Delhi,Cochin,05:30,13h 30m,2 stops,No info,13292,06-03-2019 05:30,810,06-03-2019 19:00
1819,Jet Airways,06-03-2019,Delhi,Cochin,19:45,23h 15m,1 stop,In-flight meal not included,10262,06-03-2019 19:45,1395,07-03-2019 19:00
1820,Air Asia,06-03-2019,Kolkata,Banglore,10:20,2h 35m,non-stop,No info,4409,06-03-2019 10:20,155,06-03-2019 12:55
1821,Air India,06-03-2019,Delhi,Cochin,16:55,26h 20m,2 stops,No info,13381,06-03-2019 16:55,1580,07-03-2019 19:15
1822,Air India,06-03-2019,Delhi,Cochin,12:55,30h 20m,2 stops,No info,12436,06-03-2019 12:55,1820,07-03-2019 19:15
1823,IndiGo,06-03-2019,Delhi,Cochin,15:10,4h 50m,1 stop,No info,6493,06-03-2019 15:10,290,06-03-2019 20:00
1824,Jet Airways,06-03-2019,Delhi,Cochin,10:00,9h,1 stop,No info,14714,06-03-2019 10:00,540,06-03-2019 19:00
1825,Multiple carriers,06-03-2019,Delhi,Cochin,11:30,14h,1 stop,No info,13377,06-03-2019 11:30,840,07-03-2019 01:30
1826,Multiple carriers,06-03-2019,Delhi,Cochin,12:50,12h 40m,1 stop,No info,7530,06-03-2019 12:50,760,07-03-2019 01:30
1827,IndiGo,06-03-2019,Mumbai,Hyderabad,12:00,1h 30m,non-stop,No info,2754,06-03-2019 12:00,90,06-03-2019 13:30
1828,Jet Airways,06-03-2019,Delhi,Cochin,09:40,26h 55m,2 stops,In-flight meal not included,10368,06-03-2019 09:40,1615,07-03-2019 12:35
1829,SpiceJet,06-03-2019,Delhi,Cochin,08:45,4h 30m,1 stop,No check-in baggage included,5726,06-03-2019 08:45,270,06-03-2019 13:15
1830,Vistara,06-03-2019,Delhi,Cochin,14:40,3h 10m,non-stop,No info,6216,06-03-2019 14:40,190,06-03-2019 17:50
1831,Jet Airways,06-03-2019,Delhi,Cochin,05:30,13h 30m,2 stops,In-flight meal not included,10368,06-03-2019 05:30,810,06-03-2019 19:00
1832,Air India,06-03-2019,Delhi,Cochin,19:45,23h 30m,2 stops,No info,10441,06-03-2019 19:45,1410,07-03-2019 19:15
1833,IndiGo,06-03-2019,Banglore,Delhi,23:30,2h 50m,non-stop,No info,4591,06-03-2019 23:30,170,07-03-2019 02:20
1834,Multiple carriers,06-03-2019,Delhi,Cochin,10:00,9h,1 stop,No info,14502,06-03-2019 10:00,540,06-03-2019 19:00
1835,Jet Airways,06-03-2019,Delhi,Cochin,14:00,22h 35m,1 stop,In-flight meal not included,10262,06-03-2019 14:00,1355,07-03-2019 12:35
1836,Air India,06-03-2019,Delhi,Cochin,07:10,24h 30m,2 stops,No info,12698,06-03-2019 07:10,1470,07-03-2019 07:40
1837,Jet Airways,06-03-2019,Banglore,Delhi,07:10,3h,non-stop,In-flight meal not included,5769,06-03-2019 07:10,180,06-03-2019 10:10
1838,Air Asia,06-03-2019,Delhi,Cochin,07:55,7h 50m,1 stop,No info,8759,06-03-2019 07:55,470,06-03-2019 15:45
1839,IndiGo,06-03-2019,Delhi,Cochin,11:25,14h 5m,1 stop,No info,5883,06-03-2019 11:25,845,07-03-2019 01:30
1840,IndiGo,06-03-2019,Delhi,Cochin,09:15,11h 45m,1 stop,No info,6838,06-03-2019 09:15,705,06-03-2019 21:00
1841,Air India,06-03-2019,Banglore,Delhi,17:00,2h 45m,non-stop,No info,6961,06-03-2019 17:00,165,06-03-2019 19:45
1842,Multiple carriers,06-03-2019,Delhi,Cochin,11:30,9h 30m,1 stop,No info,13587,06-03-2019 11:30,570,06-03-2019 21:00
1843,GoAir,06-03-2019,Delhi,Cochin,07:00,5h 55m,1 stop,No info,4959,06-03-2019 07:00,355,06-03-2019 12:55
1844,Jet Airways,06-03-2019,Delhi,Cochin,19:45,8h 40m,1 stop,In-flight meal not included,10262,06-03-2019 19:45,520,07-03-2019 04:25
1845,Multiple carriers,06-03-2019,Delhi,Cochin,12:50,6h 25m,1 stop,No info,9001,06-03-2019 12:50,385,06-03-2019 19:15
1846,Multiple carriers,06-03-2019,Delhi,Cochin,07:30,11h 45m,1 stop,No info,7354,06-03-2019 07:30,705,06-03-2019 19:15
1847,Multiple carriers,06-03-2019,Delhi,Cochin,17:45,7h 45m,1 stop,No info,7530,06-03-2019 17:45,465,07-03-2019 01:30
1848,Multiple carriers,06-03-2019,Delhi,Cochin,09:15,9h 45m,1 stop,No info,11622,06-03-2019 09:15,585,06-03-2019 19:00
1849,Jet Airways,06-03-2019,Delhi,Cochin,21:50,6h 35m,1 stop,No info,16079,06-03-2019 21:50,395,07-03-2019 04:25
1850,Multiple carriers,06-03-2019,Delhi,Cochin,09:00,12h,1 stop,No info,8930,06-03-2019 09:00,720,06-03-2019 21:00
1851,Jet Airways,06-03-2019,Delhi,Cochin,09:35,27h,2 stops,In-flight meal not included,11507,06-03-2019 09:35,1620,07-03-2019 12:35
1852,Multiple carriers,06-03-2019,Delhi,Cochin,10:00,9h 15m,1 stop,No info,14848,06-03-2019 10:00,555,06-03-2019 19:15
1853,IndiGo,06-03-2019,Banglore,Delhi,21:15,3h,non-stop,No info,3943,06-03-2019 21:15,180,07-03-2019 00:15
1854,SpiceJet,06-03-2019,Banglore,Delhi,21:10,2h 55m,non-stop,No check-in baggage included,3257,06-03-2019 21:10,175,07-03-2019 00:05
1855,SpiceJet,06-03-2019,Chennai,Kolkata,17:45,2h 20m,non-stop,No check-in baggage included,3543,06-03-2019 17:45,140,06-03-2019 20:05
1856,Jet Airways,06-03-2019,Delhi,Cochin,20:55,7h 30m,1 stop,In-flight meal not included,10262,06-03-2019 20:55,450,07-03-2019 04:25
1857,Jet Airways,06-03-2019,Delhi,Cochin,09:40,9h 20m,2 stops,No info,13014,06-03-2019 09:40,560,06-03-2019 19:00
1858,SpiceJet,06-03-2019,Banglore,Delhi,09:30,2h 50m,non-stop,No info,3971,06-03-2019 09:30,170,06-03-2019 12:20
1859,Jet Airways,06-03-2019,Delhi,Cochin,11:30,7h 30m,1 stop,In-flight meal not included,10262,06-03-2019 11:30,450,06-03-2019 19:00
1860,Multiple carriers,06-03-2019,Delhi,Cochin,10:35,8h 40m,1 stop,No info,7354,06-03-2019 10:35,520,06-03-2019 19:15
1861,IndiGo,06-03-2019,Kolkata,Banglore,09:35,2h 35m,non-stop,No info,4804,06-03-2019 09:35,155,06-03-2019 12:10
1862,Multiple carriers,06-03-2019,Delhi,Cochin,10:20,15h 10m,1 stop,No info,6795,06-03-2019 10:20,910,07-03-2019 01:30
1863,IndiGo,06-03-2019,Kolkata,Banglore,11:30,2h 35m,non-stop,No info,4804,06-03-2019 11:30,155,06-03-2019 14:05
1864,Jet Airways,06-03-2019,Delhi,Cochin,19:15,17h 20m,1 stop,No info,14714,06-03-2019 19:15,1040,07-03-2019 12:35
1865,Multiple carriers,06-03-2019,Delhi,Cochin,10:20,8h 40m,1 stop,No info,11789,06-03-2019 10:20,520,06-03-2019 19:00
1866,Jet Airways,06-03-2019,Delhi,Cochin,16:00,20h 35m,1 stop,No info,14714,06-03-2019 16:00,1235,07-03-2019 12:35
1867,Air India,06-03-2019,Delhi,Cochin,13:15,20h 10m,2 stops,No info,10467,06-03-2019 13:15,1210,07-03-2019 09:25
1868,Multiple carriers,06-03-2019,Delhi,Cochin,13:00,8h,1 stop,No info,7408,06-03-2019 13:00,480,06-03-2019 21:00
1869,Multiple carriers,06-03-2019,Delhi,Cochin,06:00,15h,1 stop,No info,8475,06-03-2019 06:00,900,06-03-2019 21:00
1870,Air India,06-03-2019,Delhi,Cochin,10:55,20h 45m,2 stops,No info,11753,06-03-2019 10:55,1245,07-03-2019 07:40
1871,Jet Airways,06-03-2019,Delhi,Cochin,17:30,19h 5m,1 stop,No info,14714,06-03-2019 17:30,1145,07-03-2019 12:35
1872,Air India,06-03-2019,Delhi,Cochin,12:20,30h 55m,2 stops,No info,12488,06-03-2019 12:20,1855,07-03-2019 19:15
1873,Air Asia,06-03-2019,Delhi,Cochin,07:55,14h 30m,1 stop,No info,8759,06-03-2019 07:55,870,06-03-2019 22:25
1874,Air India,06-03-2019,Delhi,Cochin,07:00,12h 15m,1 stop,No info,8879,06-03-2019 07:00,735,06-03-2019 19:15
1875,Air Asia,06-03-2019,Kolkata,Banglore,22:50,2h 30m,non-stop,No info,4409,06-03-2019 22:50,150,07-03-2019 01:20
1876,IndiGo,06-03-2019,Delhi,Cochin,07:30,13h 30m,1 stop,No info,6093,06-03-2019 07:30,810,06-03-2019 21:00
1877,Air Asia,06-03-2019,Delhi,Cochin,16:45,5h 40m,1 stop,No info,11410,06-03-2019 16:45,340,06-03-2019 22:25
1878,Air India,06-03-2019,Kolkata,Banglore,20:45,2h 35m,non-stop,No info,4145,06-03-2019 20:45,155,06-03-2019 23:20
1879,SpiceJet,06-03-2019,Delhi,Cochin,08:45,4h 30m,1 stop,No info,5830,06-03-2019 08:45,270,06-03-2019 13:15
1880,Multiple carriers,06-03-2019,Delhi,Cochin,09:15,10h,1 stop,No info,8099,06-03-2019 09:15,600,06-03-2019 19:15
1881,Air India,06-03-2019,Kolkata,Banglore,14:15,2h 30m,non-stop,No info,5510,06-03-2019 14:15,150,06-03-2019 16:45
1882,Multiple carriers,06-03-2019,Delhi,Cochin,07:10,9h,1 stop,No info,7878,06-03-2019 07:10,540,06-03-2019 16:10
1883,Multiple carriers,06-03-2019,Delhi,Cochin,11:25,7h 35m,1 stop,No info,10877,06-03-2019 11:25,455,06-03-2019 19:00
1884,Jet Airways,06-03-2019,Delhi,Cochin,21:25,15h 10m,2 stops,No info,13292,06-03-2019 21:25,910,07-03-2019 12:35
1885,IndiGo,06-03-2019,Kolkata,Banglore,17:15,2h 35m,non-stop,No info,4804,06-03-2019 17:15,155,06-03-2019 19:50
1886,Jet Airways,06-03-2019,Delhi,Cochin,20:55,15h 40m,1 stop,No info,14714,06-03-2019 20:55,940,07-03-2019 12:35
1887,Jet Airways,06-03-2019,Delhi,Cochin,22:50,13h 45m,1 stop,No info,14714,06-03-2019 22:50,825,07-03-2019 12:35
1888,Jet Airways,06-03-2019,Delhi,Cochin,18:15,18h 20m,1 stop,In-flight meal not included,10262,06-03-2019 18:15,1100,07-03-2019 12:35
1889,Jet Airways,06-03-2019,Delhi,Cochin,19:45,16h 50m,1 stop,No info,14714,06-03-2019 19:45,1010,07-03-2019 12:35
1890,Jet Airways,06-03-2019,Delhi,Cochin,05:30,13h 30m,2 stops,In-flight meal not included,11507,06-03-2019 05:30,810,06-03-2019 19:00
1891,Air India,06-03-2019,Delhi,Cochin,18:05,3h 5m,non-stop,No info,6934,06-03-2019 18:05,185,06-03-2019 21:10
1892,Multiple carriers,06-03-2019,Delhi,Cochin,15:15,10h 15m,1 stop,No info,6795,06-03-2019 15:15,615,07-03-2019 01:30
1893,Jet Airways,06-03-2019,Delhi,Cochin,20:55,22h 5m,1 stop,In-flight meal not included,10262,06-03-2019 20:55,1325,07-03-2019 19:00
1894,Jet Airways,06-03-2019,Delhi,Cochin,17:30,19h 5m,1 stop,In-flight meal not included,10262,06-03-2019 17:30,1145,07-03-2019 12:35
1895,Air India,06-03-2019,Delhi,Cochin,14:10,3h,non-stop,No info,6934,06-03-2019 14:10,180,06-03-2019 17:10
1896,Air India,06-03-2019,Delhi,Cochin,05:10,2h 50m,non-stop,No info,5201,06-03-2019 05:10,170,06-03-2019 08:00
1897,Jet Airways,06-03-2019,Delhi,Cochin,15:00,28h,1 stop,No info,14714,06-03-2019 15:00,1680,07-03-2019 19:00
1898,Air India,06-03-2019,Delhi,Cochin,17:20,16h 5m,1 stop,No info,7480,06-03-2019 17:20,965,07-03-2019 09:25
1899,IndiGo,06-03-2019,Banglore,Delhi,00:25,2h 50m,non-stop,No info,3943,06-03-2019 00:25,170,06-03-2019 03:15
1900,Multiple carriers,06-03-2019,Delhi,Cochin,07:30,11h 30m,1 stop,No info,10877,06-03-2019 07:30,690,06-03-2019 19:00
1901,SpiceJet,06-03-2019,Kolkata,Banglore,06:55,2h 35m,non-stop,No check-in baggage included,3841,06-03-2019 06:55,155,06-03-2019 09:30
1902,IndiGo,06-03-2019,Chennai,Kolkata,22:05,2h 20m,non-stop,No info,5277,06-03-2019 22:05,140,07-03-2019 00:25
1903,Vistara,06-03-2019,Banglore,Delhi,07:00,2h 40m,non-stop,No info,4668,06-03-2019 07:00,160,06-03-2019 09:40
1904,Jet Airways,06-03-2019,Delhi,Cochin,19:30,8h 55m,2 stops,In-flight meal not included,10368,06-03-2019 19:30,535,07-03-2019 04:25
1905,Jet Airways,06-03-2019,Delhi,Cochin,07:05,11h 55m,1 stop,In-flight meal not included,10577,06-03-2019 07:05,715,06-03-2019 19:00
1906,Air India,06-03-2019,Delhi,Cochin,09:45,13h 15m,1 stop,No info,8907,06-03-2019 09:45,795,06-03-2019 23:00
1907,Multiple carriers,06-03-2019,Delhi,Cochin,03:50,15h 10m,1 stop,No info,12192,06-03-2019 03:50,910,06-03-2019 19:00
1908,Jet Airways,06-03-2019,Delhi,Cochin,14:00,14h 25m,1 stop,No info,14714,06-03-2019 14:00,865,07-03-2019 04:25
1909,Air India,06-03-2019,Delhi,Cochin,10:00,9h 15m,1 stop,No info,10979,06-03-2019 10:00,555,06-03-2019 19:15
1910,Jet Airways,06-03-2019,Delhi,Cochin,21:25,15h 10m,2 stops,In-flight meal not included,11507,06-03-2019 21:25,910,07-03-2019 12:35
1911,IndiGo,06-03-2019,Delhi,Cochin,04:55,16h 5m,1 stop,No info,6838,06-03-2019 04:55,965,06-03-2019 21:00
1912,Jet Airways,06-03-2019,Delhi,Cochin,05:30,7h 5m,2 stops,No info,14441,06-03-2019 05:30,425,06-03-2019 12:35
1913,Jet Airways,06-03-2019,Delhi,Cochin,18:25,18h 10m,2 stops,No info,14237,06-03-2019 18:25,1090,07-03-2019 12:35
